"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"138000000.000000","5.649742","9.347301","12.001755","6.001816","6.001801","8.001743","12.001614",
"139000000.000000","5.679543","9.365307","12.001755","6.001816","6.001801","8.001743","12.001614",
"140000000.000000","5.709347","9.383404","12.001755","6.001816","6.001801","8.001743","12.001614",
"141000000.000000","5.739155","9.401611","12.001755","6.001816","6.001801","8.001743","12.001614",
"142000000.000000","5.768951","9.419937","12.001755","6.001816","6.001801","8.001743","12.001614",
"143000000.000000","5.798756","9.438393","12.001755","6.001816","6.001801","8.001743","12.001614",
"144000000.000000","5.828560","9.456902","12.001755","6.001816","6.001801","8.001743","12.001614",
"145000000.000000","5.858364","9.475483","12.001755","6.001816","6.001801","8.001743","12.001614",
"146000000.000000","5.888161","9.494198","12.001755","6.001816","6.001801","8.001743","12.001614",
"147000000.000000","5.917961","9.512993","12.001755","6.001816","6.001801","8.001743","12.001614",
"148000000.000000","5.947769","9.531898","12.001755","6.001816","6.001801","8.001743","12.001614",
"149000000.000000","5.977570","9.550907","12.001755","6.001816","6.001801","8.001743","12.001614",
"150000000.000000","6.007370","9.569988","12.001755","6.001816","6.001801","8.001743","12.001614",
"151000000.000000","6.037174","9.589169","12.001755","6.001816","6.001801","8.001743","12.001614",
"152000000.000000","6.066978","9.608459","12.001755","6.001816","6.001801","8.001743","12.001614",
"153000000.000000","6.096783","9.627850","12.001755","6.001816","6.001801","8.001743","12.001614",
"154000000.000000","6.126579","9.647346","12.001755","6.001816","6.001801","8.001743","12.001614",
"155000000.000000","6.156384","9.666916","12.001755","6.001816","6.001801","8.001743","12.001614",
"156000000.000000","6.186188","9.686623","12.001755","6.001816","6.001801","8.001743","12.001614",
"157000000.000000","6.215988","9.706360","12.001755","6.001816","6.001801","8.001743","12.001614",
"158000000.000000","6.245792","9.726250","12.001755","6.001816","6.001801","8.001743","12.001614",
"159000000.000000","6.275593","9.746185","12.001755","6.001816","6.001801","8.001743","12.001614",
"160000000.000000","6.305397","9.766190","12.001755","6.001816","6.001801","8.001743","12.001614",
"161000000.000000","6.335194","9.786327","12.001755","6.001816","6.001801","8.001743","12.001614",
"162000000.000000","6.364998","9.806515","12.001755","6.001816","6.001801","8.001743","12.001614",
"163000000.000000","6.394802","9.826839","12.001755","6.001816","6.001801","8.001743","12.001614",
"164000000.000000","6.424606","9.847237","12.001755","6.001816","6.001801","8.001743","12.001614",
"165000000.000000","6.454407","9.867786","12.001755","6.001816","6.001801","8.001743","12.001614",
"166000000.000000","6.484207","9.888336","12.001755","6.001816","6.001801","8.001743","12.001614",
