"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"131000000.000000","5.440994","9.224239","12.001816","12.001938","6.001938","8.001873","6.001606",
"132000000.000000","5.470795","9.241570","12.001816","12.001938","6.001938","8.001873","6.001606",
"133000000.000000","5.500595","9.258999","12.001816","12.001938","6.001938","8.001873","6.001606",
"134000000.000000","5.530392","9.276516","12.001816","12.001938","6.001938","8.001873","6.001606",
"135000000.000000","5.560204","9.294117","12.001816","12.001938","6.001938","8.001873","18.001610",
"136000000.000000","5.590004","9.311817","12.001816","12.001938","6.001938","8.001873","12.001606",
"137000000.000000","5.619801","9.329628","12.001816","12.001938","6.001938","8.001873","12.001606",
"138000000.000000","5.649605","9.347488","12.001816","12.001938","6.001938","8.001873","12.001606",
"139000000.000000","5.679405","9.365513","12.001816","12.001938","6.001938","8.001873","12.001606",
"140000000.000000","5.709213","9.383667","12.001816","12.001938","6.001938","8.001873","12.001606",
"141000000.000000","5.739014","9.401913","12.001816","12.001938","6.001938","8.001873","12.001606",
"142000000.000000","5.768814","9.420223","12.001816","12.001938","6.001938","8.001873","12.001606",
"143000000.000000","5.798615","9.438622","12.001816","12.001938","6.001938","8.001873","12.001606",
"144000000.000000","5.828423","9.457108","12.001816","12.001938","6.001938","8.001873","12.001606",
"145000000.000000","5.858223","9.475723","12.001816","12.001938","6.001938","8.001873","12.001606",
"146000000.000000","5.888023","9.494423","12.001816","12.001938","6.001938","8.001873","12.001606",
"147000000.000000","5.917828","9.513214","12.001816","12.001938","6.001938","8.001873","12.001606",
"148000000.000000","5.947632","9.532143","12.001816","12.001938","6.001938","8.001873","12.001606",
"149000000.000000","5.977428","9.551151","12.001816","12.001938","6.001938","8.001873","12.001606",
"150000000.000000","6.007233","9.570248","12.001816","12.001938","6.001938","8.001873","12.001606",
"151000000.000000","6.037037","9.589447","12.001816","12.001938","6.001938","8.001873","12.001606",
"152000000.000000","6.066841","9.608719","12.001816","12.001938","6.001938","8.001873","12.001606",
"153000000.000000","6.096638","9.628113","12.001816","12.001938","6.001938","8.001873","12.001606",
"154000000.000000","6.126442","9.647572","12.001816","12.001938","6.001938","8.001873","12.001606",
"155000000.000000","6.156242","9.667133","12.001816","12.001938","6.001938","8.001873","12.001606",
"156000000.000000","6.186050","9.686817","12.001816","12.001938","6.001938","8.001873","12.001606",
"157000000.000000","6.215847","9.706543","12.001816","12.001938","6.001938","8.001873","12.001606",
"158000000.000000","6.245651","9.726364","12.001816","12.001938","6.001938","8.001873","12.001606",
"159000000.000000","6.275455","9.746307","12.001816","12.001938","6.001938","8.001873","12.001606",
"160000000.000000","6.305260","9.766304","12.001816","12.001938","6.001938","8.001873","12.001606",
"161000000.000000","6.335060","9.786388","12.001816","12.001938","6.001938","8.001873","12.001606",
"162000000.000000","6.364861","9.806606","12.001816","12.001938","6.001938","8.001873","12.001606",
"163000000.000000","6.394669","9.826889","12.001816","12.001938","6.001938","8.001873","12.001606",
"164000000.000000","6.424469","9.847233","12.001816","12.001938","6.001938","8.001873","12.001606",
"165000000.000000","6.454269","9.867634","12.001816","12.001938","6.001938","8.001873","12.001606",
"166000000.000000","6.484070","9.888184","12.001816","12.001938","6.001938","8.001873","12.001606",
"167000000.000000","6.513870","9.908905","12.001816","12.001938","6.001938","8.001873","12.001606",
"168000000.000000","6.543678","9.929649","12.001816","12.001938","6.001938","8.001873","12.001606",
"169000000.000000","6.573479","9.950474","12.001816","12.001938","6.001938","8.001873","12.001606",
"170000000.000000","6.603279","9.971355","12.001816","12.001938","6.001938","8.001873","12.001606",
"171000000.000000","6.633083","9.992348","12.001816","12.001938","6.001938","8.001873","12.001606",
"172000000.000000","6.662888","10.013470","12.001816","12.001938","6.001938","8.001873","12.001606",
"173000000.000000","6.692688","10.034637","12.001816","12.001938","6.001938","8.001873","12.001606",
"174000000.000000","6.722488","10.055916","12.001816","12.001938","6.001938","8.001873","12.001606",
"175000000.000000","6.752293","10.077290","12.001816","12.001938","6.001938","8.001873","12.001606",
"176000000.000000","6.782097","10.098782","12.001816","12.001938","6.001938","8.001873","12.001606",
"177000000.000000","6.811901","10.120308","12.001816","12.001938","6.001938","8.001873","12.001606",
"178000000.000000","6.841698","10.141922","12.001816","12.001938","6.001938","8.001873","12.001606",
"179000000.000000","6.871502","10.163643","12.001816","12.001938","6.001938","8.001873","12.001606",
"180000000.000000","6.901306","10.185452","12.001816","12.001938","6.001938","8.001873","12.001606",
"181000000.000000","6.931107","10.207321","12.001816","12.001938","6.001938","8.001873","12.001606",
