"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8f [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"8500000.000000","0.411572","1.044369","0.750015","0.750153","0.750008","1.000004","0.750004",
"8600000.000000","0.414543","1.045376","0.750015","0.750153","0.750008","1.000004","0.750004",
"8700000.000000","0.417530","1.046391","0.750015","0.750153","0.750008","1.000004","0.750004",
"8800000.000000","0.420506","1.047428","0.750015","0.750153","0.750008","1.000004","0.750004",
"8900000.000000","0.423492","1.048458","0.750015","0.750153","0.750008","1.000004","0.750004",
"9000000.000000","0.426464","1.049496","0.750015","0.750153","0.750008","1.000004","0.750004",
"9100000.000000","0.429451","1.050552","0.750015","0.750153","0.750008","1.000004","0.750004",
"9200000.000000","0.432423","1.051620","0.750015","0.750153","0.750008","1.000004","0.750004",
"9300000.000000","0.435402","1.052692","0.750015","0.750153","0.750008","1.000004","0.750004",
"9400000.000000","0.438385","1.053768","0.750015","0.750153","0.750008","1.000004","0.750004",
"9500000.000000","0.441368","1.054859","0.750015","0.750153","0.750008","1.000004","0.750004",
"9600000.000000","0.444347","1.055962","0.750015","0.750153","0.750008","1.000004","0.750004",
"9700000.000000","0.447327","1.057072","0.750015","0.750153","0.750008","1.000004","0.750004",
"9800000.000000","0.450306","1.058201","0.750015","0.750153","0.750008","1.000004","0.750004",
"9900000.000000","0.453289","1.059326","0.750015","0.750153","0.750008","1.000004","0.750004",
"10000000.000000","0.456268","1.060486","0.750015","0.750153","0.750008","1.000004","0.750004",
"10100000.000000","0.459248","1.061634","0.750015","0.750153","0.750008","1.000004","0.750004",
"10200000.000000","0.462231","1.062790","0.750015","0.750153","0.750008","1.000004","0.750004",
"10300000.000000","0.465210","1.063961","0.750015","0.750153","0.750008","1.000004","0.750004",
"10400000.000000","0.468189","1.065144","0.750015","0.750153","0.750008","1.000004","0.750004",
"10500000.000000","0.471169","1.066334","0.750015","0.750153","0.750008","1.000004","0.750004",
"10600000.000000","0.474155","1.067543","0.750015","0.750153","0.750008","1.000004","0.750004",
"10700000.000000","0.477127","1.068764","0.750015","0.750153","0.750008","1.000004","0.750004",
"10800000.000000","0.480110","1.069988","0.750015","0.750153","0.750008","1.000004","0.750004",
"10900000.000000","0.483097","1.071228","0.750015","0.750153","0.750008","1.000004","0.750004",
"11000000.000000","0.486069","1.072475","0.750015","0.750153","0.750008","1.000004","0.750004",
"11100000.000000","0.489056","1.073723","0.750015","0.750153","0.750008","1.000004","0.750004",
"11200000.000000","0.492031","1.074989","0.750015","0.750153","0.750008","1.000004","0.750004",
"11300000.000000","0.495018","1.076260","0.750015","0.750153","0.750008","1.000004","0.750004",
"11400000.000000","0.497990","1.077553","0.750015","0.750153","0.750008","1.000004","0.750004",
"11500000.000000","0.500969","1.078850","0.750015","0.750153","0.750008","1.000004","0.750004",
"11600000.000000","0.503952","1.080147","0.750015","0.750153","0.750008","1.000004","0.750004",
"11700000.000000","0.506931","1.081455","0.750015","0.750153","0.750008","1.000004","0.750004",
"11800000.000000","0.509914","1.082779","0.750015","0.750153","0.750008","1.000004","0.750004",
"11900000.000000","0.512890","1.084126","0.750015","0.750153","0.750008","1.000004","0.750004",
"12000000.000000","0.515869","1.085461","0.750015","0.750153","0.750008","1.000004","0.750004",
"12100000.000000","0.518852","1.086811","0.750015","0.750153","0.750008","1.000004","0.750004",
"12200000.000000","0.521832","1.088169","0.750015","0.750153","0.750008","1.000004","0.750004",
"12300000.000000","0.524811","1.089550","0.750015","0.750153","0.750008","1.000004","0.750004",
"12400000.000000","0.527798","1.090916","0.750015","0.750153","0.750008","1.000004","0.750004",
"12500000.000000","0.530781","1.092312","0.750015","0.750153","0.750008","1.000004","0.750004",
"12600000.000000","0.533752","1.093712","0.750015","0.750153","0.750008","1.000004","0.750004",
