"[count]","iHashT_u16",
"145000000.000000","6.001801",
"146000000.000000","6.001801",
"147000000.000000","6.001801",
"148000000.000000","6.001801",
"149000000.000000","6.001801",
"150000000.000000","6.001801",
"151000000.000000","6.001801",
"152000000.000000","6.001801",
"153000000.000000","6.001801",
"154000000.000000","6.001801",
"155000000.000000","6.001801",
"156000000.000000","6.001801",
"157000000.000000","6.001801",
"158000000.000000","6.001801",
"159000000.000000","6.001801",
"160000000.000000","6.001801",
"161000000.000000","6.001801",
"162000000.000000","6.001801",
"163000000.000000","6.001801",
"164000000.000000","6.001801",
"165000000.000000","6.001801",
"166000000.000000","6.001801",
"167000000.000000","6.001801",
"168000000.000000","6.001801",
"169000000.000000","6.001801",
"170000000.000000","6.001801",
"171000000.000000","6.001801",
"172000000.000000","6.001801",
"173000000.000000","6.001801",
"174000000.000000","6.001801",
"175000000.000000","6.001801",
"176000000.000000","6.001801",
"177000000.000000","6.001801",
"178000000.000000","6.001801",
"179000000.000000","6.001801",
"180000000.000000","6.001801",
"181000000.000000","6.001801",
"182000000.000000","6.001801",
"183000000.000000","6.001801",
"184000000.000000","6.001801",
"185000000.000000","6.001801",
"186000000.000000","6.001801",
"187000000.000000","6.001801",
"188000000.000000","6.001801",
"189000000.000000","6.001801",
"190000000.000000","6.001801",
"191000000.000000","6.001801",
"192000000.000000","6.001801",
"193000000.000000","6.001801",
"194000000.000000","6.001801",
"195000000.000000","6.001801",
"196000000.000000","6.001801",
"197000000.000000","6.001801",
"198000000.000000","6.001801",
"199000000.000000","6.001801",
"200000000.000000","6.001801",
