"[count]","cHashT",
"174000000.000000","10.056133",
"175000000.000000","10.077492",
"176000000.000000","10.098911",
"177000000.000000","10.120495",
"178000000.000000","10.142086",
"179000000.000000","10.163799",
"180000000.000000","10.185574",
"181000000.000000","10.207455",
"182000000.000000","10.229412",
"183000000.000000","10.251442",
"184000000.000000","10.273540",
"185000000.000000","10.295742",
"186000000.000000","10.318035",
"187000000.000000","10.340412",
"188000000.000000","10.362858",
"189000000.000000","10.385395",
"190000000.000000","10.408016",
"191000000.000000","10.430702",
"192000000.000000","10.453518",
"193000000.000000","10.476433",
"194000000.000000","10.499401",
"195000000.000000","10.522408",
"196000000.000000","10.545544",
"197000000.000000","10.568771",
"198000000.000000","10.592026",
"199000000.000000","10.615402",
"200000000.000000","10.638882",
