"[count]","iHashT_u8f",
"76000000.000000","6.001812",
"77000000.000000","6.001812",
"78000000.000000","6.001812",
"79000000.000000","6.001812",
"80000000.000000","6.001812",
"81000000.000000","6.001812",
"82000000.000000","6.001812",
"83000000.000000","6.001812",
"84000000.000000","6.001812",
"85000000.000000","6.001812",
"86000000.000000","6.001812",
"87000000.000000","6.001812",
"88000000.000000","6.001812",
"89000000.000000","6.001812",
"90000000.000000","6.001812",
"91000000.000000","6.001812",
"92000000.000000","6.001812",
"93000000.000000","6.001812",
"94000000.000000","6.001812",
"95000000.000000","6.001812",
"96000000.000000","6.001812",
"97000000.000000","6.001812",
"98000000.000000","6.001812",
"99000000.000000","6.001812",
"100000000.000000","6.001812",
"101000000.000000","6.001812",
"102000000.000000","6.001812",
"103000000.000000","6.001812",
"104000000.000000","6.001812",
"105000000.000000","6.001812",
"106000000.000000","6.001812",
"107000000.000000","6.001812",
"108000000.000000","6.001812",
"109000000.000000","6.001812",
"110000000.000000","6.001812",
"111000000.000000","6.001812",
"112000000.000000","6.001812",
"113000000.000000","6.001812",
"114000000.000000","6.001812",
"115000000.000000","6.001812",
"116000000.000000","6.001812",
"117000000.000000","6.001812",
"118000000.000000","6.001812",
"119000000.000000","6.001812",
"120000000.000000","6.001812",
"121000000.000000","6.001812",
"122000000.000000","6.001812",
"123000000.000000","6.001812",
"124000000.000000","6.001812",
"125000000.000000","6.001812",
"126000000.000000","6.001812",
"127000000.000000","6.001812",
"128000000.000000","6.001812",
"129000000.000000","6.001812",
"130000000.000000","6.001816",
"131000000.000000","6.001816",
"132000000.000000","6.001816",
"133000000.000000","6.001816",
"134000000.000000","6.001816",
"135000000.000000","6.001816",
"136000000.000000","6.001816",
"137000000.000000","6.001816",
"138000000.000000","6.001816",
"139000000.000000","6.001816",
"140000000.000000","6.001816",
"141000000.000000","6.001816",
"142000000.000000","6.001816",
"143000000.000000","6.001816",
"144000000.000000","6.001816",
"145000000.000000","6.001816",
"146000000.000000","6.001816",
"147000000.000000","6.001816",
"148000000.000000","6.001816",
"149000000.000000","6.001816",
"150000000.000000","6.001816",
"151000000.000000","6.001816",
"152000000.000000","6.001816",
"153000000.000000","6.001816",
"154000000.000000","6.001816",
"155000000.000000","6.001816",
"156000000.000000","6.001816",
"157000000.000000","6.001816",
"158000000.000000","6.001816",
"159000000.000000","6.001816",
"160000000.000000","6.001816",
"161000000.000000","6.001816",
"162000000.000000","6.001816",
"163000000.000000","6.001816",
"164000000.000000","6.001816",
"165000000.000000","6.001816",
"166000000.000000","6.001816",
"167000000.000000","6.001816",
"168000000.000000","6.001816",
"169000000.000000","6.001816",
"170000000.000000","6.001816",
"171000000.000000","6.001816",
"172000000.000000","6.001816",
"173000000.000000","6.001816",
"174000000.000000","6.001816",
"175000000.000000","6.001816",
"176000000.000000","6.001816",
"177000000.000000","6.001816",
"178000000.000000","6.001816",
"179000000.000000","6.001816",
"180000000.000000","6.001816",
"181000000.000000","6.001816",
"182000000.000000","6.001816",
"183000000.000000","6.001816",
"184000000.000000","6.001816",
"185000000.000000","6.001816",
"186000000.000000","6.001816",
"187000000.000000","6.001816",
"188000000.000000","6.001816",
"189000000.000000","6.001816",
"190000000.000000","6.001816",
"191000000.000000","6.001816",
"192000000.000000","6.001816",
"193000000.000000","6.001816",
"194000000.000000","6.001816",
"195000000.000000","6.001816",
"196000000.000000","6.001816",
"197000000.000000","18.001751",
"198000000.000000","12.001816",
"199000000.000000","12.001816",
"200000000.000000","12.001816",
