"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8 [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"4250000.000000","0.160980","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4300000.000000","0.162468","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4350000.000000","0.163960","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4400000.000000","0.230030","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4450000.000000","0.200382","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4500000.000000","0.201874","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4550000.000000","0.203365","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4600000.000000","0.204857","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4650000.000000","0.206345","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4700000.000000","0.207836","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4750000.000000","0.209328","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4800000.000000","0.210815","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4850000.000000","0.212307","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4900000.000000","0.213802","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"4950000.000000","0.215282","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
"5000000.000000","0.216774","0.359028","0.386749","0.211021","0.187508","0.250065","0.375004",
