"[count]","iHashT_u8h",
"123000000.000000","6.001720",
"124000000.000000","6.001720",
"125000000.000000","6.001720",
"126000000.000000","6.001720",
"127000000.000000","6.001720",
"128000000.000000","6.001720",
"129000000.000000","6.001720",
"130000000.000000","6.001720",
"131000000.000000","6.001720",
"132000000.000000","6.001720",
"133000000.000000","6.001720",
"134000000.000000","6.001720",
"135000000.000000","18.001667",
"136000000.000000","12.001720",
"137000000.000000","12.001720",
"138000000.000000","12.001720",
"139000000.000000","12.001720",
"140000000.000000","12.001720",
"141000000.000000","12.001720",
"142000000.000000","12.001720",
"143000000.000000","12.001720",
"144000000.000000","12.001720",
"145000000.000000","12.001720",
"146000000.000000","12.001720",
"147000000.000000","12.001720",
"148000000.000000","12.001720",
"149000000.000000","12.001720",
"150000000.000000","12.001720",
"151000000.000000","12.001720",
"152000000.000000","12.001720",
"153000000.000000","12.001720",
"154000000.000000","12.001720",
"155000000.000000","12.001720",
"156000000.000000","12.001720",
"157000000.000000","12.001720",
"158000000.000000","12.001720",
"159000000.000000","12.001720",
"160000000.000000","12.001720",
"161000000.000000","12.001720",
"162000000.000000","12.001720",
"163000000.000000","12.001720",
"164000000.000000","12.001720",
"165000000.000000","12.001720",
"166000000.000000","12.001720",
"167000000.000000","12.001720",
"168000000.000000","12.001720",
"169000000.000000","12.001720",
"170000000.000000","12.001720",
"171000000.000000","12.001720",
"172000000.000000","12.001720",
"173000000.000000","12.001720",
"174000000.000000","12.001720",
"175000000.000000","12.001720",
"176000000.000000","12.001720",
"177000000.000000","12.001720",
"178000000.000000","12.001720",
"179000000.000000","12.001720",
"180000000.000000","12.001720",
"181000000.000000","12.001720",
"182000000.000000","12.001720",
"183000000.000000","12.001720",
"184000000.000000","12.001720",
"185000000.000000","12.001720",
"186000000.000000","12.001720",
"187000000.000000","12.001720",
"188000000.000000","12.001720",
"189000000.000000","12.001720",
"190000000.000000","12.001720",
"191000000.000000","12.001720",
"192000000.000000","12.001720",
"193000000.000000","12.001720",
"194000000.000000","12.001720",
"195000000.000000","12.001720",
"196000000.000000","12.001720",
"197000000.000000","12.001720",
"198000000.000000","12.001720",
"199000000.000000","12.001720",
"200000000.000000","12.001720",
