"[count]","iHashT_u16",
"90000000.000000","3.001991",
"91000000.000000","3.001991",
"92000000.000000","3.001991",
"93000000.000000","3.001991",
"94000000.000000","3.001991",
"95000000.000000","3.001991",
"96000000.000000","3.001991",
"97000000.000000","3.001991",
"98000000.000000","3.001991",
"99000000.000000","3.001991",
"100000000.000000","3.001991",
"101000000.000000","3.001991",
"102000000.000000","3.001991",
"103000000.000000","3.001991",
"104000000.000000","3.001991",
"105000000.000000","3.001991",
"106000000.000000","3.001991",
"107000000.000000","3.001991",
"108000000.000000","3.001991",
"109000000.000000","3.001991",
"110000000.000000","3.001991",
"111000000.000000","3.001991",
"112000000.000000","3.001991",
"113000000.000000","3.001991",
"114000000.000000","3.001991",
"115000000.000000","3.001991",
"116000000.000000","3.001991",
"117000000.000000","3.001991",
"118000000.000000","3.001991",
"119000000.000000","3.001991",
"120000000.000000","3.001991",
"121000000.000000","3.001991",
"122000000.000000","3.001991",
"123000000.000000","3.001991",
"124000000.000000","3.001991",
"125000000.000000","3.001991",
"126000000.000000","3.001991",
"127000000.000000","3.001991",
"128000000.000000","3.001991",
"129000000.000000","3.001991",
"130000000.000000","3.001991",
"131000000.000000","3.001991",
"132000000.000000","3.001991",
"133000000.000000","9.001869",
"134000000.000000","6.001991",
"135000000.000000","6.001991",
"136000000.000000","6.001991",
"137000000.000000","6.001991",
"138000000.000000","6.001991",
"139000000.000000","6.001991",
"140000000.000000","6.001991",
"141000000.000000","6.001991",
"142000000.000000","6.001991",
"143000000.000000","6.001991",
"144000000.000000","6.001991",
"145000000.000000","6.001991",
"146000000.000000","6.001991",
"147000000.000000","6.001991",
"148000000.000000","6.001991",
"149000000.000000","6.001991",
"150000000.000000","6.001991",
"151000000.000000","6.001991",
"152000000.000000","6.001991",
"153000000.000000","6.001991",
"154000000.000000","6.001991",
"155000000.000000","6.001991",
"156000000.000000","6.001991",
"157000000.000000","6.001991",
"158000000.000000","6.001991",
"159000000.000000","6.001991",
"160000000.000000","6.001991",
"161000000.000000","6.001991",
"162000000.000000","6.001991",
"163000000.000000","6.001991",
"164000000.000000","6.001991",
"165000000.000000","6.001991",
"166000000.000000","6.001991",
"167000000.000000","6.001991",
"168000000.000000","6.001991",
"169000000.000000","6.001991",
"170000000.000000","6.001991",
"171000000.000000","6.001991",
"172000000.000000","6.001991",
"173000000.000000","6.001991",
"174000000.000000","6.001991",
"175000000.000000","6.001991",
"176000000.000000","6.001991",
"177000000.000000","6.001991",
"178000000.000000","6.001991",
"179000000.000000","6.001991",
"180000000.000000","6.001991",
"181000000.000000","6.001991",
"182000000.000000","6.001991",
"183000000.000000","6.001991",
"184000000.000000","6.001991",
"185000000.000000","6.001991",
"186000000.000000","6.001991",
"187000000.000000","6.001991",
"188000000.000000","6.001991",
"189000000.000000","6.001991",
"190000000.000000","6.001991",
"191000000.000000","6.001991",
"192000000.000000","6.001991",
"193000000.000000","6.001991",
"194000000.000000","6.001991",
"195000000.000000","6.001991",
"196000000.000000","6.001991",
"197000000.000000","6.001991",
"198000000.000000","6.001991",
"199000000.000000","6.001991",
"200000000.000000","6.001991",
