"[count]","cHashT",
"100000000.000000","5.744476",
"101000000.000000","5.744476",
"102000000.000000","5.744476",
"103000000.000000","5.744476",
"104000000.000000","5.744476",
"105000000.000000","5.744476",
"106000000.000000","5.744476",
"107000000.000000","5.744476",
"108000000.000000","5.744476",
"109000000.000000","5.744476",
"110000000.000000","5.744476",
"111000000.000000","5.744476",
"112000000.000000","5.744476",
"113000000.000000","5.744476",
"114000000.000000","5.744476",
"115000000.000000","5.744476",
"116000000.000000","5.744476",
"117000000.000000","5.744476",
"118000000.000000","5.767582",
"119000000.000000","5.793816",
"120000000.000000","5.820156",
"121000000.000000","5.846664",
"122000000.000000","5.873291",
"123000000.000000","5.900070",
"124000000.000000","5.926991",
"125000000.000000","5.954025",
"126000000.000000","5.981174",
"127000000.000000","6.008476",
"128000000.000000","6.035870",
"129000000.000000","6.063400",
"130000000.000000","6.091042",
"131000000.000000","6.118858",
"132000000.000000","6.146767",
"133000000.000000","6.174786",
"134000000.000000","6.202938",
"135000000.000000","15.487675",
"136000000.000000","11.487675",
"137000000.000000","11.487675",
"138000000.000000","11.487675",
"139000000.000000","11.487675",
"140000000.000000","11.487675",
"141000000.000000","11.487675",
"142000000.000000","11.487675",
"143000000.000000","11.487675",
"144000000.000000","11.487675",
"145000000.000000","11.487675",
"146000000.000000","11.487675",
"147000000.000000","11.487675",
"148000000.000000","11.487675",
"149000000.000000","11.487675",
"150000000.000000","11.487675",
"151000000.000000","11.487675",
"152000000.000000","11.487675",
"153000000.000000","11.487675",
"154000000.000000","11.487675",
"155000000.000000","11.487675",
"156000000.000000","11.487675",
"157000000.000000","11.487675",
"158000000.000000","11.487675",
"159000000.000000","11.487675",
"160000000.000000","11.487675",
"161000000.000000","11.487675",
"162000000.000000","11.487675",
"163000000.000000","11.487675",
"164000000.000000","11.487675",
"165000000.000000","11.487675",
"166000000.000000","11.487675",
"167000000.000000","11.487675",
"168000000.000000","11.487675",
"169000000.000000","11.487675",
"170000000.000000","11.487675",
"171000000.000000","11.487675",
"172000000.000000","11.487675",
"173000000.000000","11.487675",
"174000000.000000","11.487675",
"175000000.000000","11.487675",
"176000000.000000","11.487675",
"177000000.000000","11.487675",
"178000000.000000","11.487675",
"179000000.000000","11.487675",
"180000000.000000","11.487675",
"181000000.000000","11.487675",
"182000000.000000","11.487675",
"183000000.000000","11.487675",
"184000000.000000","11.487675",
"185000000.000000","11.487675",
"186000000.000000","11.487675",
"187000000.000000","11.487675",
"188000000.000000","11.487675",
"189000000.000000","11.487675",
"190000000.000000","11.487675",
"191000000.000000","11.487675",
"192000000.000000","11.487675",
"193000000.000000","11.487675",
"194000000.000000","11.487675",
"195000000.000000","11.487675",
"196000000.000000","11.487675",
"197000000.000000","11.487675",
"198000000.000000","11.487675",
"199000000.000000","11.487675",
"200000000.000000","11.487675",
