"[count]","iHashT_u8f",
"187000000.000000","6.001862",
"188000000.000000","6.001862",
"189000000.000000","6.001862",
"190000000.000000","6.001862",
"191000000.000000","6.001862",
"192000000.000000","6.001862",
"193000000.000000","6.001862",
"194000000.000000","18.001774",
"195000000.000000","12.001862",
"196000000.000000","12.001862",
"197000000.000000","12.001862",
"198000000.000000","12.001862",
"199000000.000000","12.001862",
"200000000.000000","12.001862",
